token,type,description,amount,created_at,fiscal_period,entity,status,decision,processed_at,metadata_summary
d967de24-d525-48bb-85dc-f274bb5a07a4,Missing Cost Center,Transaction TXN000633: Payment for subscription,36128.34,2026-04-29T14:10:24.049424,2026-04-$2,AUS01,APPROVED,approved,2026-04-29T14:10:33.959170,txn:TXN000633
03b8219a-50f6-4bb1-afb5-947af6170dc5,Missing Cost Center,Transaction TXN000734: Payment for subscription,28103.67,2026-04-29T14:10:24.050930,2026-04-$2,AUS01,APPROVED,approved,2026-04-29T14:10:33.959170,txn:TXN000734
8debc935-6e8a-41cf-bd2c-7e684f7605bb,Missing Cost Center,Transaction TXN000772: Payment for license,27869.35,2026-04-29T14:10:24.051936,2026-04-$2,AUS01,APPROVED,approved,2026-04-29T14:10:33.959170,txn:TXN000772
cbc4898b-b35a-4f7b-a83f-d97ed2de6d57,Missing Cost Center,Transaction TXN000971: Payment for goods,31010.55,2026-04-29T14:10:24.051936,2026-04-$2,AUS01,APPROVED,approved,2026-04-29T14:10:33.960679,txn:TXN000971
2afedc9b-b46c-4291-b2dd-b949a099fa6f,AR Variance Correction,"Journal entry to correct $-886,844.11 AR/GL variance",886844.1099999994,2026-04-29T14:10:24.066938,2026-04-$2,AUS01,APPROVED,approved,2026-04-29T14:10:33.961690,
6680de10-5fe0-4729-aad9-1466309887ea,Intercompany Variance,AUS01 ↔ UK01 - FX translation difference + Duplicate posting,257250.0,2026-04-29T14:10:24.068938,2026-04-$2,AUS01,APPROVED,approved,2026-04-29T14:10:33.961690,
2231fc3d-173f-488b-96ed-b66412832624,Intercompany Variance,UK01 ↔ AUS01 - Wrong counterparty code - should be SGP01 not AUS01,156000.0,2026-04-29T14:10:24.069935,2026-04-$2,AUS01,APPROVED,approved,2026-04-29T14:10:33.962688,
70b5bfb3-7ccf-4692-b292-2c0cad27e01b,Intercompany Variance,UK01 ↔ SGP01 - Wrong counterparty + Partial settlement timing,156000.0,2026-04-29T14:10:24.071938,2026-04-$2,AUS01,APPROVED,approved,2026-04-29T14:10:33.962688,
6dd3f6c7-2b0b-4952-9007-2e3f59ac8cf2,Missing Cost Center,Transaction TXN000546: Payment for goods,9959.13,2026-04-29T14:10:40.909952,2026-04-$2,AUS01,APPROVED,approved,2026-04-29T14:13:39.979991,txn:TXN000546
1358eea7-f886-4a0d-a06b-ee58886bffb4,Missing Cost Center,Transaction TXN000633: Payment for subscription,36128.34,2026-04-29T14:10:40.910936,2026-04-$2,AUS01,APPROVED,approved,2026-04-29T14:13:39.980992,txn:TXN000633
b035490c-786b-4030-bd8f-fda92e98f2d1,Missing Cost Center,Transaction TXN000734: Payment for subscription,28103.67,2026-04-29T14:10:40.913940,2026-04-$2,AUS01,APPROVED,approved,2026-04-29T14:13:39.981991,txn:TXN000734
c3d1e9b1-47b2-4ffb-a7d6-722a632f1ef3,Missing Cost Center,Transaction TXN000772: Payment for license,27869.35,2026-04-29T14:10:40.918945,2026-04-$2,AUS01,APPROVED,approved,2026-04-29T14:13:39.982999,txn:TXN000772
bac587c1-9b40-4fb0-9b03-78aa92b3ce05,Missing Cost Center,Transaction TXN000971: Payment for goods,31010.55,2026-04-29T14:10:40.921945,2026-04-$2,AUS01,APPROVED,approved,2026-04-29T14:13:39.985000,txn:TXN000971
216e6bb8-5289-453d-878a-229c7fc8c1d1,AR Variance Correction,"Journal entry to correct $-886,844.11 AR/GL variance",886844.1099999994,2026-04-29T14:10:40.961331,2026-04-$2,AUS01,APPROVED,approved,2026-04-29T14:13:39.987004,
b27761f2-db9f-4051-990e-1abae3bb6822,Intercompany Variance,AUS01 ↔ UK01 - FX translation difference + Duplicate posting,257250.0,2026-04-29T14:10:40.964344,2026-04-$2,AUS01,APPROVED,approved,2026-04-29T14:13:39.988470,
aeea612f-85e3-425f-a438-7f8478ef6656,Intercompany Variance,UK01 ↔ AUS01 - Wrong counterparty code - should be SGP01 not AUS01,156000.0,2026-04-29T14:10:40.966351,2026-04-$2,AUS01,APPROVED,approved,2026-04-29T14:13:39.990481,
fe54d997-5c15-48d3-b42a-e210f2160b6b,Intercompany Variance,UK01 ↔ SGP01 - Wrong counterparty + Partial settlement timing,156000.0,2026-04-29T14:10:40.968349,2026-04-$2,AUS01,APPROVED,approved,2026-04-29T14:13:39.991475,
787d828f-5aa7-49ff-97c7-9ce687cfc978,Missing Cost Center,Transaction TXN000546: Payment for goods,9959.13,2026-04-29T14:10:48.033772,2026-04-$2,AUS01,APPROVED,approved,2026-04-29T14:13:39.992481,txn:TXN000546
03234983-5aa1-4c23-83e9-94f0469530b5,Missing Cost Center,Transaction TXN000633: Payment for subscription,36128.34,2026-04-29T14:10:48.034768,2026-04-$2,AUS01,APPROVED,approved,2026-04-29T14:13:39.993481,txn:TXN000633
7de5f5de-491f-4fbd-a17c-317dbf842503,Missing Cost Center,Transaction TXN000734: Payment for subscription,28103.67,2026-04-29T14:10:48.035766,2026-04-$2,AUS01,APPROVED,approved,2026-04-29T14:13:39.994481,txn:TXN000734
cb235908-1f1f-402b-a201-d7b4e04170ad,Missing Cost Center,Transaction TXN000772: Payment for license,27869.35,2026-04-29T14:10:48.036765,2026-04-$2,AUS01,APPROVED,approved,2026-04-29T14:13:39.995478,txn:TXN000772
2da5a168-9a12-4e08-9def-4e3259f3483c,Missing Cost Center,Transaction TXN000971: Payment for goods,31010.55,2026-04-29T14:10:48.037780,2026-04-$2,AUS01,APPROVED,approved,2026-04-29T14:13:39.997173,txn:TXN000971
ea82b7b4-796f-4d7c-af1b-49c9cd746081,AR Variance Correction,"Journal entry to correct $-886,844.11 AR/GL variance",886844.1099999994,2026-04-29T14:10:48.050766,2026-04-$2,AUS01,APPROVED,approved,2026-04-29T14:13:39.998182,
1ca1421d-4895-430f-9413-decb28127d55,Intercompany Variance,AUS01 ↔ UK01 - FX translation difference + Duplicate posting,257250.0,2026-04-29T14:10:48.052766,2026-04-$2,AUS01,APPROVED,approved,2026-04-29T14:13:39.999185,
81dd45f1-7f67-4223-9d5d-4f2612130b56,Intercompany Variance,UK01 ↔ AUS01 - Wrong counterparty code - should be SGP01 not AUS01,156000.0,2026-04-29T14:10:48.053765,2026-04-$2,AUS01,APPROVED,approved,2026-04-29T14:13:40.000191,
491bdbbb-2480-4c8f-bab7-dc3f7737e9db,Intercompany Variance,UK01 ↔ SGP01 - Wrong counterparty + Partial settlement timing,156000.0,2026-04-29T14:10:48.054773,2026-04-$2,AUS01,APPROVED,approved,2026-04-29T14:13:40.001182,
3008db82-b95a-41a1-b3f1-39859bb804cb,Missing Cost Center,Transaction TXN000546: Payment for goods,9959.13,2026-04-29T18:47:38.499735,2026-04-$2,AUS01,PENDING,,,txn:TXN000546
d1d9d8fd-2b88-47bf-b9b6-50847c5bf043,Missing Cost Center,Transaction TXN000633: Payment for subscription,36128.34,2026-04-29T18:47:38.500738,2026-04-$2,AUS01,PENDING,,,txn:TXN000633
2f60b34f-a808-4ac8-8a33-2677a103d52b,Missing Cost Center,Transaction TXN000734: Payment for subscription,28103.67,2026-04-29T18:47:38.502740,2026-04-$2,AUS01,PENDING,,,txn:TXN000734
25f9e57b-b397-4fad-b85d-fb8df5a5f774,Missing Cost Center,Transaction TXN000772: Payment for license,27869.35,2026-04-29T18:47:38.502740,2026-04-$2,AUS01,PENDING,,,txn:TXN000772
cbb812f8-6382-4cee-ad35-c6bed2988454,Missing Cost Center,Transaction TXN000971: Payment for goods,31010.55,2026-04-29T18:47:38.504246,2026-04-$2,AUS01,PENDING,,,txn:TXN000971
0e722549-8998-4615-bae1-89cc24425c2a,AR Variance Correction,"Journal entry to correct $-886,844.11 AR/GL variance",886844.1099999994,2026-04-29T18:47:38.525438,2026-04-$2,AUS01,PENDING,,,
1b403633-1b24-455f-b6cd-fe4bc5210bae,Intercompany Variance,AUS01 ↔ UK01 - FX translation difference + Duplicate posting,257250.0,2026-04-29T18:47:38.530459,2026-04-$2,AUS01,PENDING,,,
88ed1908-7ed2-4838-ac31-e2c6fd1ab32b,Intercompany Variance,UK01 ↔ AUS01 - Wrong counterparty code - should be SGP01 not AUS01,156000.0,2026-04-29T18:47:38.531446,2026-04-$2,AUS01,PENDING,,,
5b728ae3-b670-4b3f-89b8-f33127d96610,Intercompany Variance,UK01 ↔ SGP01 - Wrong counterparty + Partial settlement timing,156000.0,2026-04-29T18:47:38.532453,2026-04-$2,AUS01,PENDING,,,
