Customer_ID,Customer_Name,Invoice_Number,Invoice_Date,Due_Date,Invoice_Amount,Amount_Paid,Outstanding_Balance,Days_Outstanding,Status,Cost_Center,Region
CUST018,Goodman Group,INV-2026-0351,2026-04-22,2026-04-22,456700.00,456700.00,0.00,0,Paid,NSW,New South Wales
CUST019,Brambles Limited,INV-2026-0352,2026-04-23,2026-04-23,678900.00,678900.00,0.00,0,Paid,NSW,New South Wales
CUST020,Sonic Healthcare,INV-2026-0353,2026-04-24,2026-04-24,345600.00,345600.00,0.00,0,Paid,NSW,New South Wales
CUST021,Cochlear Limited,INV-2026-0354,2026-04-25,2026-04-25,234500.00,200000.00,34500.00,3,Partial,NSW,New South Wales
CUST022,ResMed Inc,INV-2026-0355,2026-04-26,2026-04-26,456700.00,0.00,456700.00,2,Outstanding,NSW,New South Wales
CUST023,Aristocrat Leisure,INV-2026-0356,2026-04-27,2026-04-27,567800.00,0.00,567800.00,1,Outstanding,NSW,New South Wales
CUST024,Ramsay Health Care,INV-2026-0357,2026-03-31,2026-03-31,345600.00,0.00,345600.00,0,Outstanding,VIC,Victoria
CUST025,Amcor PLC,INV-2026-0358,2026-01-15,2026-04-15,876500.00,800000.00,76500.00,13,Overdue,VIC,Victoria
CUST026,Newcrest Mining,INV-2026-0359,2026-01-20,2026-04-20,1234500.00,1100000.00,134500.00,8,Overdue,NSW,New South Wales
CUST027,South32 Limited,INV-2026-0360,2026-01-25,2026-04-25,987600.00,900000.00,87600.00,3,Overdue,WA,Western Australia
CUST028,Incitec Pivot,INV-2026-0361,2026-01-10,2026-04-10,654300.00,0.00,654300.00,18,Overdue,QLD,Queensland
CUST029,Orica Limited,INV-2026-0362,2026-01-12,2026-04-12,543200.00,0.00,543200.00,16,Overdue,VIC,Victoria
CUST030,BlueScope Steel,INV-2026-0363,2026-01-18,2026-04-18,432100.00,0.00,432100.00,10,Overdue,NSW,New South Wales
CUST031,Dexus Property,INV-2026-0364,2026-04-01,2026-04-01,765400.00,765400.00,0.00,0,Paid,NSW,New South Wales
CUST032,GPT Group,INV-2026-0365,2026-04-02,2026-04-02,876500.00,876500.00,0.00,0,Paid,NSW,New South Wales
CUST033,Stockland Corporation,INV-2026-0366,2026-04-03,2026-04-03,987600.00,987600.00,0.00,0,Paid,NSW,New South Wales
CUST034,Mirvac Group,INV-2026-0367,2026-04-04,2026-04-04,654300.00,654300.00,0.00,0,Paid,NSW,New South Wales
CUST035,Charter Hall Group,INV-2026-0368,2026-04-05,2026-04-05,543200.00,543200.00,0.00,0,Paid,NSW,New South Wales
CUST036,APA Group,INV-2026-0369,2026-04-06,2026-04-06,432100.00,432100.00,0.00,0,Paid,NSW,New South Wales
CUST037,Aurizon Holdings,INV-2026-0370,2026-04-07,2026-04-07,765400.00,765400.00,0.00,0,Paid,QLD,Queensland
CUST038,Sydney Airport,INV-2026-0371,2026-04-08,2026-04-08,876500.00,876500.00,0.00,0,Paid,NSW,New South Wales
CUST039,Auckland Airport,INV-2026-0372,2026-04-09,2026-04-09,987600.00,0.00,987600.00,19,Outstanding,,,
CUST040,Spark New Zealand,INV-2026-0373,2026-04-10,2026-04-10,654300.00,0.00,654300.00,18,Outstanding,,,
CUST041,Fisher & Paykel Healthcare,INV-2026-0374,2026-01-05,2026-04-05,1876500.00,1800000.00,76500.00,23,Overdue,,,
CUST042,a2 Milk Company,INV-2026-0375,2026-01-08,2026-04-08,1234500.00,0.00,1234500.00,20,Overdue,,,
CUST043,Xero Limited,INV-2026-0376,2026-04-11,2026-04-11,543200.00,543200.00,0.00,0,Paid,,,
CUST044,Afterpay (Block Inc),INV-2026-0377,2026-04-12,2026-04-12,432100.00,0.00,432100.00,16,Outstanding,VIC,Victoria
CUST045,Atlassian Corporation,INV-2026-0378,2026-04-13,2026-04-13,2345000.00,2345000.00,0.00,0,Paid,NSW,New South Wales
CUST046,Canva Pty Ltd,INV-2026-0379,2026-04-14,2026-04-14,1567800.00,0.00,1567800.00,14,Outstanding,NSW,New South Wales
CUST047,Zip Co Limited,INV-2026-0380,2026-04-15,2026-04-15,876500.00,0.00,876500.00,13,Outstanding,NSW,New South Wales
CUST048,Tyro Payments,INV-2026-0381,2026-04-16,2026-04-16,654300.00,654300.00,0.00,0,Paid,NSW,New South Wales
CUST049,Afterpay Touch Group,INV-2026-0382,2026-01-20,2026-04-20,987600.00,900000.00,87600.00,8,Overdue,VIC,Victoria
CUST050,WiseTech Global,INV-2026-0383,2026-04-17,2026-04-17,1234500.00,1234500.00,0.00,0,Paid,NSW,New South Wales
