Demo_Task,Fiscal_Period,Employee_ID,Business_Unit,Department,Role,Entity,Cost_Center,Cost_Center_Name,Salary_AUD,Overtime_AUD,Benefits_AUD,Contractor_Cost_AUD,Total_Workforce_Cost_AUD,Hours_Worked,Utilisation_Percent,Output_Metric,Output_Volume,Revenue_or_Value_Supported_AUD,Labour_Cost_Per_Output,Performance_Rating,Risk_Flag,Recommended_Action,Linked_GL_Txn_ID,Source_File_Target
"IBM BOB 2 - Workforce",2026-03,EMP1149,Procurement,Procurement,"Finance Analyst",AUS01,IT,"Information Technology",6633.16,1515.37,927.30,5503.95,14579.77,125.5,95.6,pos_processed,79,16730.04,184.55,Low,"High overtime","Review allocation / approve exception",TXN005219,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP3202,IT,IT,"Finance Analyst",AUS01,MKT,"Marketing & Sales",17650.83,531.72,2814.43,0.00,20996.98,121.9,92.6,tickets_resolved,94,132032.45,223.37,Medium,None,"No action",TXN005220,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP7598,"Customer Care","Customer Care","Data Engineer",AUS01,SA,"South Australia Operations",9054.29,1112.17,1401.18,5023.97,16591.62,162.6,71.1,cases_resolved,143,25375.12,116.03,Medium,None,"No action",TXN005221,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP1127,IT,IT,"FP&A Manager",AUS01,IT,"Information Technology",17561.98,852.74,1667.52,0.00,20082.23,152.6,67.2,tickets_resolved,77,131614.43,260.81,High,None,"No action",TXN005222,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP2159,Finance,Finance,"Procurement Specialist",AUS01,OPS,"Operations & Logistics",17864.84,2040.49,3050.34,0.00,22955.67,124.5,80.5,close_tasks,131,204112.28,175.23,High,None,"No action",TXN005223,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP5159,Finance,Finance,"Operations Planner",AUS01,VIC,"Victoria Operations",7377.15,2082.01,895.12,0.00,10354.28,183.6,65.5,close_tasks,203,209209.15,51.01,Low,"High overtime","Review allocation / approve exception",TXN005224,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP4241,IT,IT,"Data Engineer",AUS01,MKT,"Marketing & Sales",15348.64,842.13,1820.12,0.00,18010.89,184.0,74.0,tickets_resolved,73,147843.75,246.72,Medium,None,"No action",TXN005225,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP9840,Procurement,Procurement,"Customer Service Lead",AUS01,TAS,"Tasmania Operations",11158.74,587.62,1915.36,14999.77,28661.49,183.3,65.1,pos_processed,202,54455.32,141.89,Medium,None,"No action",TXN005226,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP3957,Procurement,Procurement,"Procurement Specialist",AUS01,OPS,"Operations & Logistics",7451.68,1534.94,964.83,7409.82,17361.27,137.1,64.8,pos_processed,137,40650.62,126.72,Medium,"Low utilisation high cost","Review allocation / approve exception",TXN005227,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP7263,IT,IT,"Inventory Coordinator",AUS01,R&D,"Research & Development",16214.43,1208.68,2289.52,0.00,19712.64,120.8,58.0,tickets_resolved,98,11821.16,201.15,Medium,"Low utilisation high cost","Review allocation / approve exception",TXN005228,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP3755,Commercial,Commercial,"Data Engineer",NZL01,MKT,"Marketing & Sales",8862.78,245.12,1475.77,3596.35,14180.02,143.4,82.4,revenue_cases,187,640247.68,75.83,High,None,"No action",TXN005229,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP9145,Commercial,Commercial,"Inventory Coordinator",AUS01,TAS,"Tasmania Operations",13467.49,692.12,1362.25,0.00,15521.85,138.8,70.6,revenue_cases,77,119455.24,201.58,Low,None,"No action",TXN005230,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP5877,Finance,Finance,"Finance Analyst",AUS01,SA,"South Australia Operations",16084.58,2000.32,2888.91,0.00,20973.81,135.5,71.6,close_tasks,77,118905.52,272.39,Medium,None,"No action",TXN005231,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP7715,Sales,Sales,"Operations Planner",AUS01,HR,"Human Resources",9151.74,1753.77,1641.92,0.00,12547.43,122.4,61.3,deals_supported,113,172926.71,111.04,High,"Low utilisation high cost","Review allocation / approve exception",TXN005232,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP1085,"Customer Care","Customer Care","Procurement Specialist",PNG01,MKT,"Marketing & Sales",10076.67,267.99,1754.85,0.00,12099.50,143.5,80.4,cases_resolved,207,229501.21,58.45,Low,None,"No action",TXN005233,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP5808,Operations,Operations,"Customer Service Lead",AUS01,ACT,"Australian Capital Territory",17711.39,1951.72,1913.45,11226.87,32803.43,181.4,64.2,flights_supported,99,378144.46,331.35,Medium,"Low utilisation high cost","Review allocation / approve exception",TXN005234,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP4599,Operations,Operations,"Operations Planner",NZL01,OPS,"Operations & Logistics",12878.82,1936.46,1767.22,0.00,16582.50,152.7,83.4,flights_supported,173,307138.84,95.85,Medium,None,"No action",TXN005235,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP2140,Operations,Operations,"Procurement Specialist",AUS01,TAS,"Tasmania Operations",15034.18,201.40,2405.21,0.00,17640.79,152.1,81.6,flights_supported,167,371532.96,105.63,Medium,None,"No action",TXN005236,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP4675,"Customer Care","Customer Care","FP&A Manager",AUS01,WA,"Western Australia Operations",10072.62,1470.03,1136.46,0.00,12679.11,179.3,71.4,cases_resolved,116,10677.21,109.30,Medium,None,"No action",TXN005237,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP8835,IT,IT,"Inventory Coordinator",AUS01,QLD,"Queensland Operations",14956.53,185.94,1669.78,0.00,16812.26,163.3,68.0,tickets_resolved,162,89712.74,103.78,Medium,None,"No action",TXN005238,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP1462,"Customer Care","Customer Care","Inventory Coordinator",AUS01,SA,"South Australia Operations",13108.92,21.51,1249.65,0.00,14380.07,126.0,68.3,cases_resolved,57,121504.01,252.28,Medium,None,"No action",TXN005239,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP5109,Finance,Finance,"Operations Planner",NZL01,IT,"Information Technology",11403.31,227.03,994.11,0.00,12624.46,172.2,61.0,close_tasks,189,150831.46,66.80,Medium,"Low utilisation high cost","Review allocation / approve exception",TXN005240,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP4058,Commercial,Commercial,Controller,AUS01,R&D,"Research & Development",9648.52,2072.37,1518.57,0.00,13239.46,144.4,71.3,revenue_cases,112,692303.08,118.21,High,None,"No action",TXN005241,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP1179,Finance,Finance,"Sales Manager",AUS01,CORP,"Corporate Head Office",15815.51,1657.25,1640.31,0.00,19113.07,129.7,55.8,close_tasks,76,229063.40,251.49,Low,"Low utilisation high cost","Review allocation / approve exception",TXN005242,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP3187,FP&A,FP&A,"Revenue Analyst",AUS01,SA,"South Australia Operations",9745.79,815.04,1221.90,0.00,11782.72,142.7,79.5,forecast_models,144,243992.53,81.82,Low,None,"No action",TXN005243,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP1547,IT,IT,"FP&A Manager",AUS01,OPS,"Operations & Logistics",8410.15,1972.61,747.60,12056.09,23186.45,179.6,85.6,tickets_resolved,206,11801.69,112.56,High,"High overtime","Review allocation / approve exception",TXN005244,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP3832,Operations,Operations,"Data Engineer",AUS01,NSW,"New South Wales Operations",8337.10,1815.77,768.01,0.00,10920.88,123.2,79.9,flights_supported,49,779917.26,222.88,Medium,None,"No action",TXN005245,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP1276,Procurement,Procurement,"Data Engineer",NZL01,R&D,"Research & Development",18432.43,366.91,1734.45,0.00,20533.79,143.0,79.9,pos_processed,88,161253.97,233.34,Medium,None,"No action",TXN005246,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP3687,Procurement,Procurement,Controller,PNG01,R&D,"Research & Development",9676.71,146.77,1583.67,0.00,11407.15,161.4,81.3,pos_processed,212,74165.26,53.81,Medium,None,"No action",TXN005247,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP8817,Sales,Sales,Controller,NZL01,IT,"Information Technology",14416.86,809.77,1272.77,0.00,16499.40,147.5,93.1,deals_supported,107,90883.98,154.20,Medium,None,"No action",TXN005248,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP8096,Procurement,Procurement,"Customer Service Lead",AUS01,IT,"Information Technology",8289.00,796.33,1099.86,0.00,10185.19,139.6,76.4,pos_processed,70,135402.06,145.50,Medium,None,"No action",TXN005249,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP3957,Operations,Operations,"Customer Service Lead",NZL01,WA,"Western Australia Operations",7693.76,358.55,963.28,0.00,9015.60,173.4,96.4,flights_supported,294,599547.87,30.67,High,None,"No action",TXN005250,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP9540,Finance,Finance,"FP&A Manager",AUS01,MKT,"Marketing & Sales",18036.13,1087.65,2364.93,0.00,21488.72,141.7,70.0,close_tasks,143,248154.14,150.27,High,None,"No action",TXN005251,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP7167,"Customer Care","Customer Care","Sales Manager",AUS01,VIC,"Victoria Operations",5921.96,38.70,936.67,0.00,6897.33,144.8,87.5,cases_resolved,162,83421.71,42.58,Low,None,"No action",TXN005252,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP7322,"Customer Care","Customer Care","Sales Manager",AUS01,TAS,"Tasmania Operations",11628.14,1280.82,1821.49,0.00,14730.45,149.1,81.5,cases_resolved,80,147522.51,184.13,High,None,"No action",TXN005253,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP8836,Operations,Operations,"FP&A Manager",AUS01,WA,"Western Australia Operations",14620.59,1091.12,2541.03,0.00,18252.74,169.5,91.1,flights_supported,91,764890.27,200.58,Low,None,"No action",TXN005254,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP3873,Finance,Finance,"Inventory Coordinator",PNG01,R&D,"Research & Development",11879.30,1441.52,1062.17,0.00,14382.99,141.9,97.8,close_tasks,248,127085.39,58.00,Medium,None,"No action",TXN005255,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP7174,Operations,Operations,Controller,NZL01,ACT,"Australian Capital Territory",10103.31,131.23,1813.37,0.00,12047.91,165.5,76.7,flights_supported,193,593725.28,62.42,Medium,None,"No action",TXN005256,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP9534,FP&A,FP&A,"Operations Planner",AUS01,OPS,"Operations & Logistics",15892.43,410.09,2478.71,11893.81,30675.05,146.9,81.3,forecast_models,177,96034.27,173.31,High,"Contractor dependency","Review allocation / approve exception",TXN005257,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP7238,Finance,Finance,"Finance Analyst",AUS01,MKT,"Marketing & Sales",14020.01,30.12,2433.90,0.00,16484.03,129.0,57.6,close_tasks,30,209995.22,549.47,Medium,"Low utilisation high cost","Review allocation / approve exception",TXN005258,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP7278,Sales,Sales,"Operations Planner",AUS01,FIN,"Finance & Accounting",13098.21,1182.62,1588.89,11513.79,27383.50,182.0,78.8,deals_supported,246,613670.08,111.32,Medium,None,"No action",TXN005259,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP5607,Finance,Finance,"Revenue Analyst",AUS01,ACT,"Australian Capital Territory",12415.05,1248.10,1211.57,0.00,14874.72,162.7,59.6,close_tasks,118,198724.68,126.06,Medium,"Low utilisation high cost","Review allocation / approve exception",TXN005260,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP4436,Operations,Operations,"Operations Planner",AUS01,R&D,"Research & Development",7909.09,809.56,668.73,6110.86,15498.25,120.5,79.8,flights_supported,101,816376.07,153.45,Low,None,"No action",TXN005261,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP9771,"Customer Care","Customer Care","Revenue Analyst",FJI01,SA,"South Australia Operations",17302.80,621.61,2770.08,0.00,20694.48,181.4,81.8,cases_resolved,127,84128.33,162.95,Low,None,"No action",TXN005262,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP5702,Sales,Sales,"Customer Service Lead",AUS01,QLD,"Queensland Operations",14147.60,313.79,2177.43,0.00,16638.82,174.4,82.2,deals_supported,90,578911.29,184.88,Medium,None,"No action",TXN005263,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP6365,Finance,Finance,"Data Engineer",NZL01,OPS,"Operations & Logistics",6882.93,1309.41,968.28,0.00,9160.62,137.5,66.8,close_tasks,140,152043.17,65.43,High,None,"No action",TXN005264,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP2037,FP&A,FP&A,Controller,AUS01,OPS,"Operations & Logistics",7112.70,11.90,1080.80,9065.72,17271.12,166.4,92.6,forecast_models,267,238590.47,64.69,High,"Contractor dependency","Review allocation / approve exception",TXN005265,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP4800,Commercial,Commercial,"Procurement Specialist",AUS01,R&D,"Research & Development",8410.71,586.89,957.86,0.00,9955.46,162.6,85.6,revenue_cases,127,576885.19,78.39,Medium,None,"No action",TXN005266,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP8411,Finance,Finance,"Inventory Coordinator",AUS01,NSW,"New South Wales Operations",18336.74,1789.97,2355.57,0.00,22482.28,148.4,74.2,close_tasks,87,66968.36,258.42,Low,None,"No action",TXN005267,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP4558,IT,IT,"Operations Planner",AUS01,WA,"Western Australia Operations",15673.91,1603.35,2786.11,0.00,20063.37,133.4,82.8,tickets_resolved,123,46318.45,163.12,High,None,"No action",TXN005268,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP8639,Sales,Sales,"Sales Manager",NZL01,SA,"South Australia Operations",7017.40,363.86,1227.26,0.00,8608.51,165.6,84.7,deals_supported,202,217138.02,42.62,Medium,None,"No action",TXN005269,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP8926,Operations,Operations,"Revenue Analyst",NZL01,NSW,"New South Wales Operations",10671.27,464.35,1809.08,0.00,12944.70,147.3,56.2,flights_supported,47,134090.91,275.42,High,"Low utilisation high cost","Review allocation / approve exception",TXN005270,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP8358,Commercial,Commercial,"Customer Service Lead",AUS01,QLD,"Queensland Operations",16327.28,1047.55,2610.13,0.00,19984.96,126.8,55.8,revenue_cases,112,548361.48,178.44,Medium,"Low utilisation high cost","Review allocation / approve exception",TXN005271,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP8663,Sales,Sales,"Operations Planner",AUS01,VIC,"Victoria Operations",8904.63,495.45,1346.37,12926.91,23673.37,150.9,66.9,deals_supported,130,132646.30,182.10,Low,None,"No action",TXN005272,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP4498,Commercial,Commercial,"Operations Planner",AUS01,FIN,"Finance & Accounting",9112.93,2040.08,952.76,0.00,12105.76,176.1,58.6,revenue_cases,93,330952.92,130.17,Low,"High overtime | Low utilisation high cost","Review allocation / approve exception",TXN005273,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP5186,Commercial,Commercial,"Revenue Analyst",AUS01,CORP,"Corporate Head Office",12971.76,1086.68,1676.25,0.00,15734.69,140.8,55.7,revenue_cases,140,333176.39,112.39,Low,"Low utilisation high cost","Review allocation / approve exception",TXN005274,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 2 - Workforce",2026-03,EMP8367,Sales,Sales,"Inventory Coordinator",AUS01,IT,"Information Technology",9960.56,854.31,1012.04,0.00,11826.91,154.2,76.0,deals_supported,68,350261.61,173.93,Medium,None,"No action",TXN005275,"IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
